component,layer,index,delta_loss,delta_accuracy,seed,step,probe_split
mlp_group,1,5,0.00021447546896524727,0.0,0,600,full_table
mlp_group,1,6,0.00017560238484293222,0.0,0,600,full_table
mlp_group,1,7,0.00011563746375031769,0.0,0,600,full_table
head,0,0,1.1800738183228532,0.3079584836959839,0,700,full_table
head,0,1,1.2965383139817277,0.2975778579711914,0,700,full_table
head,0,2,0.7091682163445512,0.21799308061599731,0,700,full_table
head,0,3,1.2369695512024919,0.30449825525283813,0,700,full_table
mlp_group,0,0,8.501594129484147e-05,0.0,0,700,full_table
mlp_group,0,1,0.0001790877286111936,0.0,0,700,full_table
mlp_group,0,2,0.002569866497651674,0.0,0,700,full_table
mlp_group,0,3,0.008524912540451623,0.003460228443145752,0,700,full_table
mlp_group,0,4,9.493505058344454e-05,0.0,0,700,full_table
mlp_group,0,5,0.019794583451584913,0.0069203972816467285,0,700,full_table
mlp_group,0,6,0.0005192269600229338,0.0,0,700,full_table
mlp_group,0,7,0.00010988490248564631,0.0,0,700,full_table
head,1,0,0.31670453226251993,0.11072665452957153,0,700,full_table
head,1,1,0.17889656698389445,0.0519031286239624,0,700,full_table
head,1,2,0.26870661055727396,0.08304500579833984,0,700,full_table
head,1,3,0.40451785003824625,0.11764705181121826,0,700,full_table
mlp_group,1,0,8.380405779462308e-05,0.0,0,700,full_table
mlp_group,1,1,8.698531019035727e-05,0.0,0,700,full_table
mlp_group,1,2,0.00019980607612524182,0.0,0,700,full_table
mlp_group,1,3,0.00016370716912206262,0.0,0,700,full_table
mlp_group,1,4,0.0001975344930542633,0.0,0,700,full_table
mlp_group,1,5,0.00018111673125531524,0.0,0,700,full_table
mlp_group,1,6,0.0001478641788708046,0.0,0,700,full_table
mlp_group,1,7,9.666052937973291e-05,0.0,0,700,full_table
head,0,0,1.2141366174037103,0.3079584836959839,0,800,full_table
head,0,1,1.3176554610545281,0.30103808641433716,0,800,full_table
head,0,2,0.7215867807681207,0.21453285217285156,0,800,full_table
head,0,3,1.2586966922099236,0.3079584836959839,0,800,full_table
mlp_group,0,0,7.319427095353603e-05,0.0,0,800,full_table
mlp_group,0,1,0.00015708175487816334,0.0,0,800,full_table
mlp_group,0,2,0.0028711437771562487,0.0,0,800,full_table
mlp_group,0,3,0.009507065784418955,0.003460228443145752,0,800,full_table
mlp_group,0,4,8.283820352517068e-05,0.0,0,800,full_table
mlp_group,0,5,0.02258958123275079,0.01038062572479248,0,800,full_table
mlp_group,0,6,0.00048175649135373533,0.0,0,800,full_table
mlp_group,0,7,9.443218004889786e-05,0.0,0,800,full_table
head,1,0,0.3213941623980645,0.11072665452957153,0,800,full_table
head,1,1,0.1809988190943841,0.0519031286239624,0,800,full_table
head,1,2,0.27708806298323907,0.08996540307998657,0,800,full_table
head,1,3,0.4145110418612603,0.11764705181121826,0,800,full_table
mlp_group,1,0,7.121384260244668e-05,0.0,0,800,full_table
mlp_group,1,1,7.348175859078765e-05,0.0,0,800,full_table
mlp_group,1,2,0.0001724154280964285,0.0,0,800,full_table
mlp_group,1,3,0.00014114007353782654,0.0,0,800,full_table
mlp_group,1,4,0.00017197421402670443,0.0,0,800,full_table
mlp_group,1,5,0.0001560701639391482,0.0,0,800,full_table
mlp_group,1,6,0.0001271874352823943,0.0,0,800,full_table
mlp_group,1,7,8.262431947514415e-05,0.0,0,800,full_table
head,0,0,1.2451749989268137,0.31141871213912964,0,900,full_table
head,0,1,1.3366962620493723,0.30449825525283813,0,900,full_table
head,0,2,0.7326145121332956,0.21799308061599731,0,900,full_table
head,0,3,1.2780449339625193,0.30449825525283813,0,900,full_table
mlp_group,0,0,6.402366852853447e-05,0.0,0,900,full_table
mlp_group,0,1,0.00013981452502775937,0.0,0,900,full_table
mlp_group,0,2,0.0032131418556673452,0.0,0,900,full_table
mlp_group,0,3,0.010429059664602391,0.003460228443145752,0,900,full_table
mlp_group,0,4,7.347195059992373e-05,0.0,0,900,full_table
mlp_group,0,5,0.025421377780730836,0.01038062572479248,0,900,full_table
mlp_group,0,6,0.0004529436555458233,0.0,0,900,full_table
mlp_group,0,7,8.245624485425651e-05,0.0,0,900,full_table
head,1,0,0.3261824497458292,0.11072665452957153,0,900,full_table
head,1,1,0.1832001456496073,0.0519031286239624,0,900,full_table
head,1,2,0.28513740985363256,0.09342563152313232,0,900,full_table
head,1,3,0.42424481599300634,0.11764705181121826,0,900,full_table
mlp_group,1,0,6.159037002362311e-05,0.0,0,900,full_table
mlp_group,1,1,6.321359251160175e-05,0.0,0,900,full_table
mlp_group,1,2,0.00015126554353628308,0.0,0,900,full_table
mlp_group,1,3,0.00012361737026367337,0.0,0,900,full_table
mlp_group,1,4,0.0001520876685390249,0.0,0,900,full_table
mlp_group,1,5,0.00013665207370650023,0.0,0,900,full_table
mlp_group,1,6,0.00011124262528028339,0.0,0,900,full_table
mlp_group,1,7,7.185223512351513e-05,0.0,0,900,full_table
head,0,0,1.2737633927317802,0.31833910942077637,0,1000,full_table
head,0,1,1.3541078312846366,0.30449825525283813,0,1000,full_table
head,0,2,0.7425227506610099,0.21107268333435059,0,1000,full_table
head,0,3,1.295532558724517,0.30103808641433716,0,1000,full_table
mlp_group,0,0,5.6726872571744025e-05,0.0,0,1000,full_table
mlp_group,0,1,0.00012592942221090198,0.0,0,1000,full_table
mlp_group,0,2,0.003589322936022654,0.0,0,1000,full_table
mlp_group,0,3,0.01129568149917759,0.003460228443145752,0,1000,full_table
mlp_group,0,4,6.603071233257651e-05,0.0,0,1000,full_table
mlp_group,0,5,0.02827109643840231,0.01038062572479248,0,1000,full_table
mlp_group,0,6,0.00043047897634096444,0.0,0,1000,full_table
mlp_group,0,7,7.292526424862444e-05,0.0,0,1000,full_table
head,1,0,0.3310787125083152,0.11418682336807251,0,1000,full_table
head,1,1,0.18550426201545633,0.0519031286239624,0,1000,full_table
head,1,2,0.292937104270095,0.0968858003616333,0,1000,full_table
head,1,3,0.43380293683730997,0.11418682336807251,0,1000,full_table
mlp_group,1,0,5.4030591854825616e-05,0.0,0,1000,full_table
mlp_group,1,1,5.521519051399082e-05,0.0,0,1000,full_table
mlp_group,1,2,0.00013450239202938974,0.0,0,1000,full_table
mlp_group,1,3,0.00010966391710098833,0.0,0,1000,full_table
mlp_group,1,4,0.000136213144287467,0.0,0,1000,full_table
mlp_group,1,5,0.00012119646999053657,0.0,0,1000,full_table
mlp_group,1,6,9.860885620582849e-05,0.0,0,1000,full_table
mlp_group,1,7,6.33615127298981e-05,0.0,0,1000,full_table
head,0,0,1.300333353181486,0.3148788809776306,0,1100,full_table
head,0,1,1.3702184878784465,0.30449825525283813,0,1100,full_table
