layer,head,delta_loss,delta_accuracy,seed,step
1,2,0.436383757773001,0.11764705181121826,0,3000
1,3,0.6292036809354613,0.15224915742874146,0,3000
0,0,1.6564837799633096,0.3252595067024231,0,3050
0,1,1.5988371477687906,0.3252595067024231,0,3050
0,2,0.8645754561985086,0.21453285217285156,0,3050
0,3,1.528889428194816,0.3079584836959839,0,3050
1,0,0.46489296418076265,0.13840830326080322,0,3050
1,1,0.258258085068519,0.07612454891204834,0,3050
1,2,0.4399356947506021,0.11764705181121826,0,3050
1,3,0.6345510588253092,0.15224915742874146,0,3050
0,0,1.664141122255387,0.3252595067024231,0,3100
0,1,1.604348961267533,0.3252595067024231,0,3100
0,2,0.867275957021775,0.21453285217285156,0,3100
0,3,1.5340428985691688,0.3079584836959839,0,3100
1,0,0.46904406324392767,0.13840830326080322,0,3100
1,1,0.2607247270680091,0.07958477735519409,0,3100
1,2,0.4434714950657508,0.11764705181121826,0,3100
1,3,0.639931146059098,0.15570932626724243,0,3100
0,0,1.6717847158743098,0.3252595067024231,0,3150
0,1,1.6098789741827204,0.32179927825927734,0,3150
0,2,0.8700213005377009,0.21453285217285156,0,3150
0,3,1.5391977598501398,0.3079584836959839,0,3150
1,0,0.47323735259305977,0.13840830326080322,0,3150
1,1,0.2632368376089289,0.08650517463684082,0,3150
1,2,0.4470139016939356,0.11764705181121826,0,3150
1,3,0.6453423073126032,0.15570932626724243,0,3150
0,0,1.679411733222878,0.3252595067024231,0,3200
0,1,1.6154327035674214,0.32179927825927734,0,3200
0,2,0.8727556706198811,0.21107268333435059,0,3200
0,3,1.5443876624831319,0.3079584836959839,0,3200
1,0,0.47747277624694107,0.13840830326080322,0,3200
1,1,0.26576926715461013,0.08650517463684082,0,3200
1,2,0.450574868989861,0.11764705181121826,0,3200
1,3,0.6507669330367207,0.15570932626724243,0,3200
0,0,1.6870159386962769,0.3252595067024231,0,3250
0,1,1.6210211991638062,0.3252595067024231,0,3250
0,2,0.8755330323547241,0.21107268333435059,0,3250
0,3,1.5496081590026733,0.3079584836959839,0,3250
