component,layer,index,delta_loss,delta_accuracy,seed,step,probe_split
mlp_group,1,1,0.047792673110961914,0.0,0,500,heldout
mlp_group,1,2,-0.04575514793395996,0.0,0,500,heldout
mlp_group,1,3,-0.06691980361938477,0.0,0,500,heldout
mlp_group,1,4,-0.04320526123046875,0.0,0,500,heldout
mlp_group,1,5,-0.02345108985900879,0.0,0,500,heldout
mlp_group,1,6,-0.02425217628479004,0.0,0,500,heldout
mlp_group,1,7,0.0034389495849609375,0.0,0,500,heldout
head,0,0,0.4353525638580322,0.19310343265533447,0,1000,heldout
head,0,1,0.5228872299194336,0.2137930691242218,0,1000,heldout
head,0,2,0.7681500911712646,0.23448273539543152,0,1000,heldout
head,0,3,0.5545618534088135,0.22068962454795837,0,1000,heldout
mlp_group,0,0,0.15556979179382324,0.006896555423736572,0,1000,heldout
mlp_group,0,1,0.3137941360473633,0.08965516090393066,0,1000,heldout
mlp_group,0,2,0.16011667251586914,0.06896549463272095,0,1000,heldout
mlp_group,0,3,0.3125185966491699,0.1310344636440277,0,1000,heldout
mlp_group,0,4,0.15115094184875488,0.08275860548019409,0,1000,heldout
mlp_group,0,5,0.450747013092041,0.20689651370048523,0,1000,heldout
mlp_group,0,6,0.12578129768371582,0.034482747316360474,0,1000,heldout
mlp_group,0,7,0.3492624759674072,0.10344824194908142,0,1000,heldout
head,1,0,0.6409313678741455,0.19310343265533447,0,1000,heldout
head,1,1,0.14443016052246094,0.08275860548019409,0,1000,heldout
head,1,2,0.3800501823425293,0.15172410011291504,0,1000,heldout
head,1,3,0.21448683738708496,0.12413790822029114,0,1000,heldout
mlp_group,1,0,-0.06611871719360352,0.006896555423736572,0,1000,heldout
mlp_group,1,1,0.03308725357055664,0.0,0,1000,heldout
mlp_group,1,2,-0.05384564399719238,0.0,0,1000,heldout
mlp_group,1,3,-0.11346983909606934,0.0,0,1000,heldout
mlp_group,1,4,-0.05887317657470703,0.0,0,1000,heldout
mlp_group,1,5,-0.05363774299621582,0.0,0,1000,heldout
mlp_group,1,6,-0.08141899108886719,0.0,0,1000,heldout
mlp_group,1,7,-0.021411657333374023,0.0,0,1000,heldout
head,0,0,0.9623594284057617,0.3448275625705719,0,1500,heldout
head,0,1,0.9713540077209473,0.33103445172309875,0,1500,heldout
head,0,2,1.0925323963165283,0.3241379112005234,0,1500,heldout
head,0,3,0.987931489944458,0.2965517044067383,0,1500,heldout
mlp_group,0,0,0.33137035369873047,0.04137927293777466,0,1500,heldout
mlp_group,0,1,0.7900924682617188,0.33103445172309875,0,1500,heldout
mlp_group,0,2,0.40398383140563965,0.19310343265533447,0,1500,heldout
mlp_group,0,3,0.8105804920196533,0.35862065851688385,0,1500,heldout
mlp_group,0,4,0.5289261341094971,0.28275859355926514,0,1500,heldout
